Episode number 1 | CPU1 winrate : 0.0 | Draw : 0.0
Episode number 4001 | CPU1 winrate : 0.306 | Draw : 0.42125
Episode number 8001 | CPU1 winrate : 0.3195 | Draw : 0.409
Episode number 12001 | CPU1 winrate : 0.31725 | Draw : 0.419
Episode number 16001 | CPU1 winrate : 0.32025 | Draw : 0.417
Episode number 20001 | CPU1 winrate : 0.31025 | Draw : 0.4165
Episode number 24001 | CPU1 winrate : 0.32 | Draw : 0.4085
Episode number 28001 | CPU1 winrate : 0.318 | Draw : 0.407
Episode number 32001 | CPU1 winrate : 0.30075 | Draw : 0.416
Episode number 36001 | CPU1 winrate : 0.322 | Draw : 0.4075
Episode number 40001 | CPU1 winrate : 0.317 | Draw : 0.42025
Episode number 44001 | CPU1 winrate : 0.316 | Draw : 0.4015
Episode number 48001 | CPU1 winrate : 0.316 | Draw : 0.405
Episode number 52001 | CPU1 winrate : 0.303 | Draw : 0.42225
Episode number 56001 | CPU1 winrate : 0.31875 | Draw : 0.4015
Episode number 60001 | CPU1 winrate : 0.32375 | Draw : 0.4045
Episode number 64001 | CPU1 winrate : 0.306 | Draw : 0.41575
Episode number 68001 | CPU1 winrate : 0.3305 | Draw : 0.39425
Episode number 72001 | CPU1 winrate : 0.32725 | Draw : 0.3955
Episode number 76001 | CPU1 winrate : 0.31775 | Draw : 0.39725
Episode number 80001 | CPU1 winrate : 0.3245 | Draw : 0.3965
Episode number 84001 | CPU1 winrate : 0.32375 | Draw : 0.3985
Episode number 88001 | CPU1 winrate : 0.3255 | Draw : 0.39675
Episode number 92001 | CPU1 winrate : 0.311 | Draw : 0.40625
Episode number 96001 | CPU1 winrate : 0.32225 | Draw : 0.40125
Episode number 100001 | CPU1 winrate : 0.32675 | Draw : 0.39025
Episode number 104001 | CPU1 winrate : 0.323 | Draw : 0.3895
Episode number 108001 | CPU1 winrate : 0.32425 | Draw : 0.39575
Episode number 112001 | CPU1 winrate : 0.326 | Draw : 0.403
Episode number 116001 | CPU1 winrate : 0.331 | Draw : 0.405
Episode number 120001 | CPU1 winrate : 0.3135 | Draw : 0.40825
Episode number 124001 | CPU1 winrate : 0.332 | Draw : 0.4005
Episode number 128001 | CPU1 winrate : 0.32925 | Draw : 0.40475
Episode number 132001 | CPU1 winrate : 0.323 | Draw : 0.3985
Episode number 136001 | CPU1 winrate : 0.32125 | Draw : 0.4045
Episode number 140001 | CPU1 winrate : 0.31225 | Draw : 0.41375
Episode number 144001 | CPU1 winrate : 0.32425 | Draw : 0.39925
Episode number 148001 | CPU1 winrate : 0.33275 | Draw : 0.397
Episode number 152001 | CPU1 winrate : 0.322 | Draw : 0.4105
Episode number 156001 | CPU1 winrate : 0.32775 | Draw : 0.40075
