Episode number 1 | CPU1 winrate : 0.0 | Draw : 0.00025
Episode number 4001 | CPU1 winrate : 0.254 | Draw : 0.53475
Episode number 8001 | CPU1 winrate : 0.248 | Draw : 0.50575
Episode number 12001 | CPU1 winrate : 0.27825 | Draw : 0.45175
Episode number 16001 | CPU1 winrate : 0.272 | Draw : 0.42525
Episode number 20001 | CPU1 winrate : 0.27875 | Draw : 0.4005
Episode number 24001 | CPU1 winrate : 0.29525 | Draw : 0.37
Episode number 28001 | CPU1 winrate : 0.28325 | Draw : 0.342
Episode number 32001 | CPU1 winrate : 0.2875 | Draw : 0.327
Episode number 36001 | CPU1 winrate : 0.3075 | Draw : 0.31475
Episode number 40001 | CPU1 winrate : 0.2975 | Draw : 0.3055
Episode number 44001 | CPU1 winrate : 0.30225 | Draw : 0.28375
Episode number 48001 | CPU1 winrate : 0.3165 | Draw : 0.28125
Episode number 52001 | CPU1 winrate : 0.3085 | Draw : 0.2705
Episode number 56001 | CPU1 winrate : 0.33625 | Draw : 0.245
Episode number 60001 | CPU1 winrate : 0.32375 | Draw : 0.24425
Episode number 64001 | CPU1 winrate : 0.319 | Draw : 0.2455
Episode number 68001 | CPU1 winrate : 0.3285 | Draw : 0.23525
Episode number 72001 | CPU1 winrate : 0.3385 | Draw : 0.22925
Episode number 76001 | CPU1 winrate : 0.33 | Draw : 0.2315
Episode number 80001 | CPU1 winrate : 0.33875 | Draw : 0.2265
Episode number 84001 | CPU1 winrate : 0.34 | Draw : 0.2265
Episode number 88001 | CPU1 winrate : 0.3445 | Draw : 0.22025
Episode number 92001 | CPU1 winrate : 0.33025 | Draw : 0.2305
Episode number 96001 | CPU1 winrate : 0.3515 | Draw : 0.20825
Episode number 100001 | CPU1 winrate : 0.344 | Draw : 0.225
Episode number 104001 | CPU1 winrate : 0.34375 | Draw : 0.218
Episode number 108001 | CPU1 winrate : 0.33975 | Draw : 0.223
Episode number 112001 | CPU1 winrate : 0.3545 | Draw : 0.21825
Episode number 116001 | CPU1 winrate : 0.33775 | Draw : 0.22025
Episode number 120001 | CPU1 winrate : 0.35625 | Draw : 0.2085
Episode number 124001 | CPU1 winrate : 0.341 | Draw : 0.2055
Episode number 128001 | CPU1 winrate : 0.35225 | Draw : 0.214
Episode number 132001 | CPU1 winrate : 0.3465 | Draw : 0.21175
Episode number 136001 | CPU1 winrate : 0.36275 | Draw : 0.20525
Episode number 140001 | CPU1 winrate : 0.34925 | Draw : 0.2025
Episode number 144001 | CPU1 winrate : 0.343 | Draw : 0.197
Episode number 148001 | CPU1 winrate : 0.3485 | Draw : 0.20425
Episode number 152001 | CPU1 winrate : 0.35175 | Draw : 0.2065
Episode number 156001 | CPU1 winrate : 0.362 | Draw : 0.21075
Episode number 160001 | CPU1 winrate : 0.34025 | Draw : 0.2255
Episode number 164001 | CPU1 winrate : 0.33825 | Draw : 0.20775
Episode number 168001 | CPU1 winrate : 0.35075 | Draw : 0.20175
Episode number 172001 | CPU1 winrate : 0.35125 | Draw : 0.2205
Episode number 176001 | CPU1 winrate : 0.34525 | Draw : 0.218
Episode number 180001 | CPU1 winrate : 0.355 | Draw : 0.21175
Episode number 184001 | CPU1 winrate : 0.35775 | Draw : 0.224
Episode number 188001 | CPU1 winrate : 0.3475 | Draw : 0.21825
Episode number 192001 | CPU1 winrate : 0.3585 | Draw : 0.19825
Episode number 196001 | CPU1 winrate : 0.342 | Draw : 0.2135
Episode number 200001 | CPU1 winrate : 0.34275 | Draw : 0.21175
Episode number 204001 | CPU1 winrate : 0.35025 | Draw : 0.1985
Episode number 208001 | CPU1 winrate : 0.35325 | Draw : 0.19425
Episode number 212001 | CPU1 winrate : 0.35775 | Draw : 0.2145
Episode number 216001 | CPU1 winrate : 0.35225 | Draw : 0.2185
Episode number 220001 | CPU1 winrate : 0.3535 | Draw : 0.20475
Episode number 224001 | CPU1 winrate : 0.347 | Draw : 0.21275
Episode number 228001 | CPU1 winrate : 0.35725 | Draw : 0.2085
Episode number 232001 | CPU1 winrate : 0.33775 | Draw : 0.21725
Episode number 236001 | CPU1 winrate : 0.35975 | Draw : 0.2165
Episode number 240001 | CPU1 winrate : 0.33925 | Draw : 0.22025
Episode number 244001 | CPU1 winrate : 0.367 | Draw : 0.21175
Episode number 248001 | CPU1 winrate : 0.35325 | Draw : 0.2145
Episode number 252001 | CPU1 winrate : 0.35225 | Draw : 0.2105
Episode number 256001 | CPU1 winrate : 0.354 | Draw : 0.2165
Episode number 260001 | CPU1 winrate : 0.3605 | Draw : 0.21
Episode number 264001 | CPU1 winrate : 0.355 | Draw : 0.23
Episode number 268001 | CPU1 winrate : 0.3635 | Draw : 0.20275
Episode number 272001 | CPU1 winrate : 0.3515 | Draw : 0.22
Episode number 276001 | CPU1 winrate : 0.34375 | Draw : 0.2245
Episode number 280001 | CPU1 winrate : 0.35625 | Draw : 0.218
Episode number 284001 | CPU1 winrate : 0.344 | Draw : 0.2275
